78.000,232.979,1011.210,17.060,1.214,544.265,29.946,333333.109,0.000,0.000,0.000,0.000,12.000,-0.005,30.860,0.000,0.067,-0.829,18.866,0.000,22.102,30.809,-65.382,0.020,-0.371,18.928,0.793,20.855,27.000,2.000,2026.000,14.000,27.000,12.000
78.000,232.860,1011.211,17.060,1.214,543.986,29.938,333247.822,0.000,0.000,0.000,0.000,12.000,-0.005,30.811,0.000,0.012,-0.076,18.840,0.000,22.028,30.778,-63.063,0.030,-0.267,18.905,0.388,20.863,27.000,2.000,2026.000,14.000,27.000,12.000
78.000,232.723,1011.214,17.060,1.214,543.665,29.929,333149.912,0.000,0.000,0.000,0.000,12.000,-0.005,30.810,0.000,0.061,-0.224,18.830,0.000,22.116,30.775,-58.787,0.025,-0.322,18.943,0.579,20.939,27.000,2.000,2026.000,14.000,27.000,13.000
78.000,232.613,1011.214,17.060,1.214,543.407,29.922,333070.880,0.000,0.000,0.000,0.000,12.000,-0.005,30.850,0.000,0.068,-0.294,18.857,0.000,21.979,30.821,-65.548,0.044,-0.322,18.898,0.377,20.814,27.000,2.000,2026.000,14.000,27.000,13.000
78.000,232.544,1011.214,17.060,1.214,543.245,29.918,333021.296,0.000,0.000,0.000,0.000,12.000,-0.005,30.760,0.000,0.065,-0.327,18.806,0.000,22.046,30.796,-67.402,0.018,-0.311,18.915,0.597,20.873,27.000,2.000,2026.000,14.000,27.000,14.000
78.000,232.475,1011.214,17.060,1.214,543.084,29.913,332971.705,0.000,0.000,0.000,0.000,12.000,-0.005,30.767,0.000,0.070,-0.305,18.814,0.000,22.021,30.791,-62.198,0.018,-0.316,18.958,0.605,20.880,27.000,2.000,2026.000,14.000,27.000,14.000
78.000,232.452,1011.215,17.060,1.214,543.030,29.912,332955.338,0.000,0.000,0.000,0.000,12.000,-0.005,30.860,0.000,0.031,-0.344,18.838,0.000,21.969,30.796,-63.184,0.024,-0.316,18.937,0.870,20.915,27.000,2.000,2026.000,14.000,27.000,15.000
78.000,232.381,1011.212,17.040,1.214,542.863,29.906,332933.072,0.000,0.000,0.000,0.000,12.000,-0.005,30.787,0.000,0.039,-0.398,18.813,0.000,21.895,30.797,-63.664,0.022,-0.333,18.929,0.389,20.880,27.000,2.000,2026.000,14.000,27.000,15.000
78.000,232.373,1011.207,17.040,1.214,542.845,29.906,332926.498,0.000,0.000,0.000,0.000,12.000,-0.005,30.836,0.000,0.028,-0.245,18.788,0.000,22.028,30.798,-58.524,0.020,-0.311,18.957,0.487,20.869,27.000,2.000,2026.000,14.000,27.000,16.000
78.000,232.398,1011.202,17.040,1.214,542.903,29.907,332943.648,0.000,0.000,0.000,0.000,12.000,-0.005,30.833,0.000,0.029,-0.327,18.840,0.000,22.021,30.813,-59.489,0.021,-0.393,18.912,0.226,20.806,27.000,2.000,2026.000,14.000,27.000,16.000
78.000,232.416,1011.204,17.040,1.214,542.945,29.909,332956.918,0.000,0.000,0.000,0.000,12.000,-0.005,30.900,0.000,0.030,-0.447,18.841,0.000,21.909,30.798,-67.767,0.020,-0.294,18.903,1.108,20.898,27.000,2.000,2026.000,14.000,27.000,17.000
78.000,232.418,1011.203,17.040,1.214,542.950,29.909,332958.192,0.000,0.000,0.000,0.000,12.000,-0.005,30.749,0.000,0.047,-0.387,18.801,0.000,22.053,30.810,-71.427,0.034,-0.333,18.921,0.627,20.873,27.000,2.000,2026.000,14.000,27.000,17.000
78.000,232.360,1011.203,17.040,1.214,542.814,29.905,332916.492,0.000,0.000,0.000,0.000,12.000,-0.005,30.767,0.000,0.025,-0.491,18.876,0.000,22.025,30.820,-74.207,0.024,-0.322,18.873,0.656,20.901,27.000,2.000,2026.000,14.000,27.000,18.000
78.000,232.356,1011.203,17.040,1.214,542.805,29.905,332913.616,0.000,0.000,0.000,0.000,12.000,-0.005,30.854,0.000,0.060,-0.540,18.808,0.000,21.923,30.824,-69.665,0.015,-0.322,18.905,0.518,20.898,27.000,2.000,2026.000,14.000,27.000,18.000
78.000,232.262,1011.201,17.040,1.214,542.584,29.899,332845.694,0.000,0.000,0.000,0.000,12.000,-0.005,30.773,0.000,0.085,-0.436,18.779,0.000,22.004,30.809,-67.774,0.022,-0.316,18.955,0.710,20.884,27.000,2.000,2026.000,14.000,27.000,19.000
78.000,232.281,1011.204,17.040,1.214,542.629,29.900,332859.851,0.000,0.000,0.000,0.000,12.000,-0.005,30.707,0.000,0.055,-0.556,18.829,0.000,22.242,30.822,-56.616,0.017,-0.714,18.913,1.391,20.869,27.000,2.000,2026.000,14.000,27.000,19.000
78.000,232.300,1011.208,17.040,1.214,542.673,29.901,332874.173,0.000,0.000,0.000,0.000,12.000,-0.005,30.796,0.000,0.054,-0.753,18.802,0.000,21.930,30.801,-59.539,0.023,-0.671,18.887,0.166,20.877,27.000,2.000,2026.000,14.000,27.000,20.000
78.000,232.336,1011.212,17.040,1.214,542.758,29.903,332900.717,0.000,0.000,0.000,0.000,12.000,-0.005,30.883,0.000,0.046,-0.856,18.812,0.000,21.979,30.779,-58.125,0.025,-0.911,18.944,1.241,20.915,27.000,2.000,2026.000,14.000,27.000,20.000
78.000,232.407,1011.212,17.040,1.214,542.924,29.908,332951.765,0.000,0.000,0.000,0.000,12.000,-0.005,30.899,0.000,0.070,-0.316,18.834,0.000,21.878,30.824,-64.810,0.020,-0.927,18.901,0.921,20.824,27.000,2.000,2026.000,14.000,27.000,21.000
78.000,232.416,1011.214,17.040,1.214,542.945,29.908,332958.565,0.000,0.000,0.000,0.000,12.000,-0.005,30.750,0.000,0.039,-0.224,18.816,0.000,22.112,30.820,-61.562,0.029,-0.605,18.881,0.823,20.898,27.000,2.000,2026.000,14.000,27.000,21.000
78.000,232.412,1011.217,17.040,1.214,542.936,29.908,332956.183,0.000,0.000,0.000,0.000,12.000,-0.005,30.757,0.000,0.073,-0.202,18.785,0.000,22.028,30.786,-60.779,0.023,-0.305,18.931,0.684,20.884,27.000,2.000,2026.000,14.000,27.000,22.000
78.000,232.385,1011.219,17.040,1.214,542.873,29.906,332937.101,0.000,0.000,0.000,0.000,12.000,-0.005,30.839,0.000,0.047,-0.164,18.814,0.000,22.028,30.785,-58.856,0.030,-0.322,18.892,0.644,20.880,27.000,2.000,2026.000,14.000,27.000,22.000
78.000,232.359,1011.221,17.040,1.214,542.812,29.905,332918.736,0.000,0.000,0.000,0.000,12.000,-0.005,30.811,0.000,0.048,-0.480,18.819,0.000,22.004,30.761,-66.091,0.022,-0.371,18.901,0.449,20.939,27.000,2.000,2026.000,14.000,27.000,23.000
78.000,232.318,1011.221,17.040,1.214,542.716,29.902,332889.256,0.000,0.000,0.000,0.000,12.000,-0.005,30.798,0.000,0.023,-0.453,18.757,0.000,22.053,30.824,-67.200,0.022,-0.294,18.954,0.316,20.912,27.000,2.000,2026.000,14.000,27.000,23.000
78.000,232.310,1011.222,17.040,1.214,542.697,29.901,332883.668,0.000,0.000,0.000,0.000,12.000,-0.005,30.752,0.000,0.028,-0.529,18.802,0.000,22.032,30.829,-66.201,0.018,-0.365,18.913,0.874,20.855,27.000,2.000,2026.000,14.000,27.000,24.000
78.000,232.315,1011.220,17.040,1.214,542.709,29.902,332886.934,0.000,0.000,0.000,0.000,12.000,-0.005,30.773,0.000,0.037,-0.218,18.829,0.000,22.074,30.774,-64.876,0.022,-0.791,18.870,0.178,20.852,27.000,2.000,2026.000,14.000,27.000,24.000
78.000,232.382,1011.221,17.040,1.214,542.866,29.906,332935.273,0.000,0.000,0.000,0.000,12.000,-0.005,30.739,0.000,0.021,-0.300,18.790,0.000,22.095,30.813,-61.524,0.022,-0.993,18.950,0.800,20.852,27.000,2.000,2026.000,14.000,27.000,25.000
78.000,232.398,1011.221,17.040,1.214,542.903,29.907,332946.776,0.000,0.000,0.000,0.000,12.000,-0.005,30.787,0.000,0.043,-0.862,18.815,0.000,22.028,30.818,-58.005,0.014,-0.922,18.895,0.539,20.866,27.000,2.000,2026.000,14.000,27.000,25.000
78.000,232.383,1011.221,17.040,1.214,542.868,29.906,332935.992,0.000,0.000,0.000,0.000,12.000,-0.005,30.790,0.000,0.031,-0.698,18.813,0.000,22.137,30.789,-59.197,0.020,-0.294,18.845,0.197,20.863,27.000,2.000,2026.000,14.000,27.000,26.000
78.000,232.400,1011.221,17.040,1.214,542.908,29.907,332948.214,0.000,0.000,0.000,0.000,12.000,-0.005,30.808,0.000,0.049,-0.316,18.759,0.000,22.067,30.793,-62.234,0.022,-1.014,18.906,0.383,20.908,27.000,2.000,2026.000,14.000,27.000,26.000
78.000,232.405,1011.220,17.040,1.214,542.920,29.908,332951.644,0.000,0.000,0.000,0.000,12.000,-0.005,30.763,0.000,0.023,-0.774,18.797,0.000,22.098,30.793,-52.932,0.033,-0.927,18.884,0.267,20.904,27.000,2.000,2026.000,14.000,27.000,27.000
78.000,232.404,1011.222,17.040,1.214,542.917,29.908,332951.255,0.000,0.000,0.000,0.000,12.000,-0.005,30.844,0.000,0.042,-0.098,18.800,0.000,22.035,30.786,-57.845,0.021,-0.289,18.861,0.642,20.904,27.000,2.000,2026.000,14.000,27.000,27.000
78.000,232.390,1011.222,17.040,1.214,542.884,29.907,332941.189,0.000,0.000,0.000,0.000,12.000,-0.005,30.826,0.000,0.056,-0.725,18.756,0.000,22.063,30.804,-56.414,0.015,-0.960,18.911,0.323,20.873,27.000,2.000,2026.000,14.000,27.000,28.000
78.000,232.401,1011.222,17.040,1.214,542.910,29.907,332949.098,0.000,0.000,0.000,0.000,12.000,-0.005,30.829,0.000,0.026,-0.371,18.773,0.000,21.976,30.797,-63.546,0.010,-0.933,18.914,0.392,20.887,27.000,2.000,2026.000,14.000,27.000,28.000
78.000,232.344,1011.228,17.040,1.214,542.777,29.904,332909.103,0.000,0.000,0.000,0.000,12.000,-0.005,30.789,0.000,0.075,-0.158,18.798,0.000,22.060,30.807,-64.189,0.017,-0.338,18.857,0.602,20.880,27.000,2.000,2026.000,14.000,27.000,29.000
78.000,232.353,1011.230,17.040,1.214,542.798,29.904,332915.904,0.000,0.000,0.000,0.000,12.000,-0.005,30.803,0.000,0.048,-0.251,18.771,0.000,22.119,30.798,-66.667,0.034,-0.420,18.908,0.280,20.831,27.000,2.000,2026.000,14.000,27.000,29.000
78.000,232.298,1011.231,17.040,1.214,542.669,29.901,332876.520,0.000,0.000,0.000,0.000,12.000,-0.005,30.788,0.000,0.094,-0.207,18.825,0.000,22.007,30.817,-64.825,0.022,-0.693,18.855,0.472,20.831,27.000,2.000,2026.000,14.000,27.000,30.000
78.000,232.248,1011.230,17.040,1.214,542.551,29.897,332840.398,0.000,0.000,0.000,0.000,12.000,-0.005,30.817,0.000,0.025,-0.431,18.806,0.000,21.983,30.809,-62.328,0.022,-0.393,18.856,0.201,20.866,27.000,2.000,2026.000,14.000,27.000,30.000
78.000,232.219,1011.231,17.040,1.214,542.483,29.895,332819.706,0.000,0.000,0.000,0.000,12.000,-0.005,30.796,0.000,0.019,-0.442,18.755,0.000,22.018,30.800,-58.960,0.020,-0.344,18.881,0.052,20.873,27.000,2.000,2026.000,14.000,27.000,31.000
78.000,232.216,1011.232,17.040,1.214,542.476,29.895,332817.713,0.000,0.000,0.000,0.000,12.000,-0.005,30.801,0.000,0.027,-0.436,18.775,0.000,22.116,30.747,-62.711,0.019,-0.327,18.879,0.682,20.894,27.000,2.000,2026.000,14.000,27.000,31.000
