  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      11	 14:41:28	   4.996	  -0.005	  104.25	 1011.23	   16.73	   597.0	   -13.1	   124.9	   120.7	   736.0	     3.0	   0.000	   1.215	   243.2	    20.0	  223147	   22.20	   22.20	   -0.16	   -0.17	    0.00	  20.597	  20.508	  16.399	  16.087	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 14:42:17	  14.000	  -0.005	  103.63	 1011.27	   16.70	  1014.0	   -46.9	   280.1	   321.2	  1080.7	     9.1	   0.000	   1.215	   241.8	    19.9	  222516	   45.20	   45.20	    0.56	    0.55	    0.00	  20.010	  19.967	  43.287	  42.926	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 14:43:05	  14.000	  -0.005	  413.46	 1011.27	   16.91	  4491.8	   -74.3	  1338.3	  1303.9	  3623.2	    58.4	   0.000	   1.215	   968.9	    39.9	  445060	   59.90	   59.91	   -0.03	   -0.41	    0.00	  19.535	  19.576	  50.490	  45.282	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 14:43:58	  12.004	  -0.005	  415.42	 1011.29	   17.13	  3898.7	   -28.2	  1210.8	  1140.1	  3317.3	    52.1	   0.000	   1.214	   973.6	    40.1	  445689	   27.50	   27.50	   -1.38	   -1.39	    0.00	  19.204	  19.286	  16.250	  15.846	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 14:44:49	  12.004	  -0.005	  235.84	 1011.28	   17.07	  2195.5	   -19.6	   677.4	   648.1	  1996.7	    20.7	   0.000	   1.214	   551.0	    30.1	  335380	   40.11	   40.10	   -0.22	   -0.48	    0.00	  19.046	  19.139	  31.047	  28.699	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 14:45:48	   0.000	  -0.005	  233.58	 1011.27	   17.01	  1255.8	    25.1	  -265.4	  -272.1	  1707.3	   -44.0	   0.000	   1.214	   545.7	    30.0	  333844	   24.09	   24.10	   -0.53	   -0.62	    0.00	  18.908	  18.963	  16.025	  15.675	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 14:47:30	   0.000	  -0.005	   26.09	 1011.26	   16.85	   149.7	    21.4	   -25.4	   -39.0	   200.6	   -12.8	   0.000	   1.215	    61.2	    10.0	  111846	   19.00	   19.00	    0.08	    0.11	    0.00	  18.814	  18.768	  16.609	  16.317	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 14:48:00	   4.996	  -0.005	   25.80	 1011.26	   16.80	   127.3	     7.8	    29.6	    21.6	   225.0	    -4.3	   0.000	   1.215	    60.5	    10.0	  111242	   20.20	   20.20	    0.10	    0.13	    0.00	  18.777	  18.709	  17.913	  17.597	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
