  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      11	   4.996	  -0.005	  0.5776	0.089664	 0.00319	 0.45958	0.039022	  0.5832	0.003186	-0.00248	 0.31378	-0.00058	0.089664	-0.003186	0.577595	-0.00304	 0.29919	-0.00036	    5.46	   -0.18	   33.14	   -0.24	    2.87	   -0.03	  104.25	 1011.23	   16.73	   1.215	   243.2	   20.01	1.734E+5	   0.059
      12	  14.000	  -0.005	  1.1199	0.163327	 0.01022	 0.15634	-0.112462	  1.1262	0.010209	 0.00058	-0.12521	-0.00011	0.163328	-0.010209	1.119931	-0.00112	-0.15178	-0.00026	    9.48	   -0.57	   62.91	   -0.09	   -1.27	   -0.02	  103.63	 1011.27	   16.70	   1.215	   241.8	   19.95	1.729E+5	   0.058
      13	  14.000	  -0.005	  1.1137	0.178747	 0.00178	 0.24270	-0.095991	  1.1239	0.001761	-0.00301	-0.03827	-0.00180	0.178747	-0.001761	1.113690	-0.00367	-0.06735	-0.00111	   41.46	   -0.39	  250.76	   -1.15	   -1.97	   -0.35	  413.46	 1011.27	   16.91	   1.215	   968.9	   39.94	3.458E+5	   0.117
      14	  12.004	  -0.005	  0.9947	0.153765	-0.00109	 0.29647	-0.056474	  1.0049	-0.001100	-0.00291	 0.04524	-0.00164	0.153765	0.001100	0.994698	-0.00302	 0.02022	-0.00106	   35.92	    0.25	  225.52	   -0.95	    1.14	   -0.33	  415.42	 1011.29	   17.13	   1.214	   973.6	   40.05	3.463E+5	   0.117
      15	  12.004	  -0.005	  1.0140	0.153220	 0.00005	 0.29453	-0.061022	  1.0237	0.000037	-0.00278	 0.03861	-0.00127	0.153220	-0.000037	1.014001	-0.00300	 0.01368	-0.00070	   20.26	   -0.00	  130.08	   -0.53	    0.51	   -0.13	  235.84	 1011.28	   17.07	   1.214	   551.0	   30.13	2.606E+5	   0.088
      16	   0.000	  -0.005	  0.0624	0.083182	 0.00095	 0.49146	0.083181	  0.0624	0.000938	-0.00163	 0.47587	 0.00170	0.083182	-0.000938	0.062362	-0.00178	 0.46234	 0.00170	   11.60	   -0.12	    8.97	   -0.31	    9.94	    0.30	  233.58	 1011.27	   17.01	   1.214	   545.7	   29.98	2.594E+5	   0.088
      17	   0.000	  -0.005	  0.0579	0.092033	-0.01422	 0.50002	0.092031	  0.0579	-0.014230	-0.00459	 0.48556	 0.00506	0.092032	0.014230	0.057854	-0.00228	 0.47059	 0.00506	    1.43	    0.20	    0.94	   -0.05	    1.13	    0.10	   26.09	 1011.26	   16.85	   1.215	    61.2	   10.03	8.690E+4	   0.029
      18	   4.996	  -0.005	  0.6062	0.074002	-0.00447	 0.50047	0.020924	  0.6104	-0.004476	-0.00277	 0.34788	 0.00080	0.074002	0.004476	0.606241	-0.00196	 0.33584	 0.00105	    1.14	    0.06	    8.64	   -0.04	    0.80	    0.02	   25.80	 1011.26	   16.80	   1.215	    60.5	    9.98	8.643E+4	   0.029
